,City,Lat,Lng,Temp Max,Humidity,Cloudness,windSpeed,country,date
0,San Patricio,28.017,-97.5169,98.17,41,33,16.46,US,1658863946
1,Kanniyākumāri,8.0833,77.5667,77.95,83,28,8.23,IN,1658863999
2,Saskylakh,71.9167,114.0833,66.27,85,28,4.21,RU,1658863883
3,Punta Arenas,-53.15,-70.9167,39.22,70,75,13.8,CL,1658863946
4,Hilo,19.7297,-155.09,83.28,92,100,3.44,US,1658863865
5,San Vicente,-26.6167,-54.1333,76.32,53,5,1.32,AR,1658864000
6,Trelew,-43.249,-65.3051,46.56,92,100,8.61,AR,1658864220
7,Hobart,-42.8794,147.3294,44.46,93,69,3.44,AU,1658864353
8,Villa Guerrero,18.8667,-99.65,80.28,52,74,4.7,MX,1658864354
9,Mount Gambier,-37.8333,140.7667,49.91,100,100,9.22,AU,1658864431
10,Lermontovka,47.1453,134.3383,65.44,95,54,2.17,RU,1658864432
11,Dikson,73.5069,80.5464,44.92,92,100,28.81,RU,1658864432
12,Severo-Kuril'sk,50.6789,156.125,52.79,85,94,5.73,RU,1658864432
13,Esperance,-33.8667,121.9,56.8,82,100,6.91,AU,1658864433
14,Busselton,-33.65,115.3333,48.96,84,0,7.25,AU,1658864433
15,Nikolskoye,59.7035,30.7861,73.8,78,89,6.08,RU,1658863906
16,Chui,-33.6971,-53.4616,64.54,87,90,5.68,UY,1658863758
17,Lorengau,-2.0226,147.2712,80.58,82,82,8.03,PG,1658863991
18,Neiafu,-18.65,-173.9833,75.88,78,75,3.44,TO,1658864003
19,Mahon,39.8885,4.2658,77.56,69,0,11.5,ES,1658864003
20,Saint Paul Harbor,57.79,-152.4072,54.91,62,0,0.0,US,1658863999
21,‘Āhuimanu,21.4447,-157.8378,82.11,79,100,14.97,US,1658864003
22,Rikitea,-23.1203,-134.9692,75.43,75,97,13.15,PF,1658864004
23,Mataura,-46.1927,168.8643,44.47,97,100,7.47,NZ,1658864004
24,Muhafazat Lahij,13.1667,44.5833,87.51,36,95,9.51,YE,1658864004
25,Hermanus,-34.4187,19.2345,50.81,88,99,7.31,ZA,1658864005
26,Barrow,71.2906,-156.7887,35.62,93,100,14.97,US,1658863930
27,Puerto Ayora,-0.7393,-90.3518,78.76,89,100,8.01,EC,1658864005
28,Erenhot,43.6475,111.9767,72.45,39,83,6.11,CN,1658864006
29,Cape Town,-33.9258,18.4232,57.27,81,20,5.75,ZA,1658864006
30,Ushuaia,-54.8,-68.3,38.82,60,20,9.22,AR,1658863898
31,Vila Velha,-20.3297,-40.2925,76.95,82,20,11.5,BR,1658863712
32,Port Alfred,-33.5906,26.891,65.23,53,11,8.39,ZA,1658864006
